Carnet,Nombre,IngresoFamiliar,FechaNacimiento
200583530,Nicolina Huckster,7939.95,05/02/2002
201662592,Barby Wonfar,35644.42,11/09/1996
201624645,Fern Noseworthy,29182.57,14/07/1991
200513698,Brunhilda Glayzer,49794.19,16/06/1995
201322672,Corty Vasenkov,36055.33,03/04/1988
201289074,Sancho Gjerde,45908.93,29/12/1996
200815168,Florence Boylin,6359.13,30/09/2001
200754387,Kenneth Rosencwaig,27056.7,13/03/1990
200271143,Quinton De Gogay,23227.56,23/12/2001
202055453,Wyatt Taig,35814.93,13/09/1995
201843068,Maggee Stonman,28008.57,06/08/1994
201483850,Elmira Klehyn,7287.35,20/01/1993
200239533,Paolo Carus,14101.8,09/03/2000
201933948,Emlynn Naile,17882.54,12/01/1992
200753055,Della Lean,5639.76,21/01/2001
201003050,Addison Dornan,46233.64,09/07/1999
201378228,Dolph Riddle,3614.23,24/04/1990
200763918,Hillard Howlett,11391.95,07/08/1998
201449575,Erin Shutle,48578.37,19/02/2001
200823731,Daria Jendrassik,39016.97,25/07/1996
200134950,Neel Cowans,23733.24,10/12/2001
201241669,Pascale Tolotti,19680.9,06/03/2002
202099159,Micah Barfield,31244.5,28/07/1996
200915781,Olenolin Disley,29098.56,13/03/1996
200545294,Glad Scammonden,13582.5,17/10/1995
201552414,Trevor Yitzovicz,45559.8,24/06/1998
201444838,Morie Stook,4687.02,30/01/1998
200425299,Phillip Finnimore,23638.94,12/04/1989
201237622,Melitta Fetherby,26959.36,23/02/1991
200405612,Ingra Letteresse,44899.39,27/02/2001
201376761,Karin Stearley,34914.13,21/01/1999
200202048,Theodor Shearstone,28626.47,08/02/1987
200281772,Arnaldo Dinan,27922.45,17/09/2000
200411021,Celle Wells,41701.49,31/07/2000
201767894,Virgie Gabbetis,26885.15,21/11/1988
200929682,Ring Timlin,35800.66,20/04/1994
200353808,Mil Gerran,45480.46,24/01/1991
200183319,Cornelle Oosthout de Vree,17378.56,23/08/2001
200738884,Zebedee MacNally,7261.29,27/01/2002
201131782,Merwin Playdon,25951.68,09/12/1996
201140529,Giacopo Lackham,49407.67,24/05/1996
200588997,Druci Pibsworth,37291.84,15/09/1994
201623870,Haily Ingman,8419.22,06/09/1995
200292585,Rayna Ivankin,4434.63,10/10/1992
201581603,Salomon Pessolt,19476.05,01/05/1986
200817610,Ervin Burkitt,40565.42,09/03/1994
201077906,Tanya Cullivan,18563.62,02/07/1991
201650910,Hanna Anear,7004.33,03/12/2001
201926127,Marilyn Lakeland,24342.1,18/04/1987
201619940,Thorndike Steffans,9391.38,05/07/1989
201799551,Jaquith Attwooll,37514.18,12/05/1999
200251671,Kori Lougheed,32258.67,03/03/1993
200378028,Brandais Irvin,42276.98,12/03/1990
201006842,Cletus Wackley,42671.47,05/12/1990
200394273,Davon Guisler,13078.68,02/02/1988
201931946,Emlen Pitt,27479.71,11/12/1995
201866937,Far Ollerhad,16374.26,06/03/1994
200161317,Weider Coghlan,33059.67,23/09/1988
201218668,Joceline Ottley,21393.12,07/11/1987
200116002,Karol Surgenor,16134.76,08/11/1993
201419446,Bamby Dakin,30306.17,25/09/1987
200862294,Dew Dudmesh,32392.92,25/11/1991
200415100,Nanete Boulder,4759.3,12/08/1998
201634859,Heather Sikorski,15153.69,20/10/1986
201100927,Augustin Geerling,26308.24,15/01/1992
201742141,Seana Govey,20297.34,31/01/1999
201818286,Gib Terbrug,42404.99,21/02/1990
200665430,Rebekkah Kelberman,22485.74,06/03/2001
200574312,Lonee Matityahu,14160.28,13/01/1991
201209453,Claribel Caesmans,9942.48,21/05/1987
200751180,Demeter Heinsen,35832.56,05/03/1997
201494678,Ashia Kulis,6657.64,14/01/1986
201726815,Wendell Womersley,35673.1,05/12/1998
200243992,Cyrille Croome,34399.22,05/07/1997
200350937,Sukey Kendrick,48249.24,16/10/1994
201531248,Louis Johanchon,39285.98,06/11/1990
200507026,Gale Whitewood,14318.49,24/09/1990
200879301,Noel Woodbridge,20687.57,01/03/1993
200768153,Jermaine Kernaghan,16208.21,13/10/1996
201694509,Deeann Roumier,36478.64,14/08/2001
202088668,Sibbie Bramley,14260.91,14/03/1999
200205433,Karin Gurner,20642.42,26/05/1993
201973970,Florida Jenton,13542.57,29/06/1997
200011184,Junette Pereira,17671.78,25/06/1994
200969343,Aila Caldicot,37330.22,07/08/1991
201886345,Cy Knotte,35542.8,08/05/1999
200811653,Mattheus Banthorpe,31927.64,20/08/1997
200946995,Arlie Heritege,36748.18,25/10/1995
200542797,Leandra Turfin,26365.77,08/03/1993
200081495,Gayler Mathiot,12711.82,30/07/2000
201084019,Frankie Islip,41347.17,25/10/1988
201565309,Arlan Walbridge,34858.98,21/10/1991
201567582,Peterus Creavin,27076.83,29/07/1987
201643522,Caresa Semorad,49095.63,04/12/1994
200170684,Lesley Thatcher,19177.31,21/05/1997
201783631,Tyrone O'Gavin,29356.39,21/10/1987
201776828,Rudolf Cluelow,17229.01,03/04/1992
200433307,Rae Womack,40377.96,06/03/2002
200729917,Bryant Zaple,4387.88,29/12/1996
201556635,Ruttger Martignon,29568.16,22/03/1988
200697629,Nan Bliss,21696.64,07/12/1986
200131284,Alexio Marzello,43952.53,19/08/1991
201012037,Dina Luna,19938.23,04/10/1999
200136633,Mickie Cantor,5830.56,15/11/1987
200879634,Waring Jurewicz,6139.77,23/08/1988
200927511,Berta Robert,38107.7,22/03/1987
200501388,Myer Le Cornu,36957.39,30/11/1999
200638210,Wash Belz,26581.1,06/11/1992
200631262,Genia Benech,13014.41,01/03/2000
200631979,Patin Ruddy,32774.48,09/03/1999
201906392,Roy Senechault,3217.18,05/04/1993
200932821,Lyndsie Heyworth,21556.92,10/09/1986
200041123,Frants Smail,37296.32,25/09/1999
201389760,Hyacintha Mattusevich,5176.56,30/09/2000
201641285,Irvine Ironside,31963.84,01/07/1995
201985952,Gal Pinkie,32303.09,30/03/1996
201326862,Amalea Kinkead,30290.96,24/06/1987
200157585,Janifer MacCallum,11860.88,07/02/1989
201151270,Betti Saffrin,42346.97,30/04/1987
201582502,Germayne Bartolomeotti,37208.05,30/01/1995
200103264,Poppy Veschi,38903.31,16/04/1999
200438980,Patty Mount,22833.71,29/07/1987
200256055,Micaela Betteson,22172.32,13/02/1989
201052879,Blinnie Plumridege,30604.8,07/10/1987
200900454,Nola Meddick,33350.88,21/05/1994
201074186,Averill Sussams,20474.32,18/01/1992
201966986,Ole Houseman,35464.89,16/07/1990
201673899,Hermine Landsbury,37795.32,18/10/1994
200304034,Kynthia Gorton,27880.98,01/03/2000
202096653,Selma Cino,32450.94,04/10/1997
201538433,Loralee Baudinelli,14002.52,05/04/2001
201549902,Ara Chadbourn,24624.29,03/04/1999
201367485,Mariquilla Billing,23223.13,21/07/1991
200381473,Milka Cicerone,26716.42,27/07/1994
201176982,Renate Largan,46975.65,03/01/1992
200673401,Codee Dunks,48972.62,20/02/1990
202023608,Nissy Fust,15670.08,22/11/1994
201780392,Kermit Savill,42108.2,11/06/1999
201059873,Orv Bigly,18993.9,04/04/1990
201407215,Ferdinande Bakes,44438.69,24/11/1994
201127092,Lenard Iskower,16906.36,08/08/1990
200238032,Base Ascroft,40563.84,11/08/1999
200919877,Marilin Almak,4953.76,18/10/1997
201885018,Harmonie Killock,9748.36,11/11/1990
201595952,Kalindi Tift,9662.19,18/12/1997
201547293,Chelsy Bruno,7166.8,11/03/1990
200956872,Josepha Monan,7857.17,21/01/2002
200147826,Christine Macourek,9930.22,29/07/1988
200445034,Ida Coysh,37976.79,05/07/2000
201549251,Karlens Markushkin,12482.67,14/05/1994
201174037,Fenelia Lambot,40595.57,09/05/1996
200082160,Reine Gostage,3817.98,31/03/1989
201166798,Vincent Emanuelov,29352.89,15/03/1989
201931998,Luz Lacrouts,16494.45,27/09/1994
200993124,Hallsy Redihalgh,16773.34,22/06/2001
201260339,Babbie Woodfine,49165.81,31/07/1993
201219665,Candace Maykin,32570.07,04/08/1999
201749658,Heriberto Dillinger,27089.06,16/09/1994
201519568,Cy McLennan,32120.8,05/03/1988
202079200,Annette Knightley,4486.73,19/12/1990
201151320,Lowell Stuchbery,43478.61,21/11/1992
200436343,Nikos Sawford,5204.47,28/05/1997
200597601,Ilsa Coste,30532.66,14/11/2000
200589259,Tannie Bergstram,15691.4,07/07/1993
200766144,Sapphira Weatherburn,17047.35,22/09/1996
200596455,Florie Ryan,40288.88,06/01/1988
200122181,Lyell Cotton,27690.52,27/02/1987
201236071,Marin Swainston,21137.69,24/09/1996
201154028,Vaclav Pidcock,29123.36,14/03/1995
201866405,Adda Castells,22030.29,11/11/1996
201561117,Keenan Willers,43656.08,05/06/1991
200449718,Mandy Gadie,28689.84,08/04/1995
200099203,Tobi Jeffels,22926.71,25/06/1990
200239062,Cathrine Bertot,44497.14,30/12/1999
200129624,Sascha Gamlyn,18047.73,17/12/1986
200325144,Rubie Jiggens,20361.81,28/06/1987
200989122,Josefa Zanutti,48210.24,08/07/1986
200092216,Katee Chastaing,39753.21,29/03/1991
200878318,Hall Pendlington,4014.48,18/11/1987
201262298,Poppy Thorneloe,3753.26,19/09/1997
201462726,Ursa Grinaugh,37897.95,16/11/1989
200968353,Joyce Rolance,35942.48,23/10/1994
202052483,Leeanne Skidmore,48615.81,04/05/1991
201562843,Elana Dungee,25478.28,26/04/1987
201077408,Ofella Tangye,32170.3,05/08/1996
200749372,Charmaine Muckian,29116.24,28/06/1989
201810418,Pat Midgley,44461.81,31/08/1990
201388494,Reinaldos Pydcock,41129.57,08/09/1997
201744353,Aharon Vallender,5986.59,21/03/1998
200891833,Ferrel Skippings,41713.4,15/06/1997
200286083,Nyssa Morville,20163.04,22/10/1997
200149744,Petra Shinn,12170.48,23/12/1990
201050126,Rori Eccleston,8390.26,17/11/1996
201218742,Fan Blunkett,48986.72,19/07/1990
200335199,Emelen Scullin,48354.42,03/08/1992
200438751,Lavina Gerardet,8204.28,09/02/2000
201674162,Alfonso Bartolozzi,24593.69,13/12/2000
201616006,Ruthi Dreye,40205.21,14/06/2001
200010056,Roderich Ahearne,18788.55,04/03/1999
201114765,Alyce Pauer,43958.04,01/10/1999
200277540,Giffard Lambirth,5932.13,24/08/1997
200849137,Kinsley Tankin,41540.39,04/04/1987
201497386,Danit Flanne,4340.76,19/07/1998
201896324,Otho Rawls,18073.77,16/08/1989
200897469,Archibold Brahm,34952.58,04/10/1996
200915064,June Clubb,29756.3,25/11/1987
201139075,Anatol Pestricke,23793.37,24/10/1995
200992805,Berkeley Kinnane,46521.0,06/06/2000
200767170,Helaine Drains,34626.83,13/12/1987
200141929,Libbie Drivers,23549.23,21/12/1996
201931565,Isabeau Frend,21336.17,17/12/1987
200255739,Cristina Heaphy,12690.99,12/01/1990
202082777,Berti Hasnip,39197.97,29/10/2001
201209106,Ahmed Rojel,16765.41,24/12/1998
201451001,Leanna Flowerdew,28165.6,11/09/1990
200523620,Daryl Mensler,33766.9,13/01/1987
201825473,Desdemona O'Mohun,18165.19,02/03/1999
201562015,Bari Yacob,20591.54,04/03/1996
201248241,Paulette Hogbourne,26766.1,21/11/1992
201367792,Janetta Moncur,5748.12,30/06/1986
202104301,Eloise Naylor,16162.18,27/06/1997
201403663,Claiborn Calley,10928.07,28/06/1996
200445122,Barbey Tarpey,35267.08,03/02/1988
201832384,Lucius Curbishley,30667.06,30/04/1999
201846001,Kurtis Philipps,24663.32,03/12/1998
202074469,Sharron Stubbington,35580.06,20/09/1988
200599547,Niki Fairnie,12737.57,11/03/1997
200438312,Westley Matyasik,4816.49,25/11/1990
201146576,Demott Swale,12137.92,03/03/1991
201449557,Izaak Cominotti,42916.42,30/07/1993
201523546,Lee Dawidowicz,19565.6,30/06/1996
201712185,Serene Beaney,8720.08,04/10/1986
200122123,Kial Howles,29048.03,21/09/2001
201681821,Fulton Cottill,11775.73,04/11/1996
201795035,Beverlie Iglesias,47293.68,17/08/1999
201568348,Clare Rudsdale,10359.29,05/11/1986
200208452,Marianna Gameson,4849.49,30/08/1989
201485541,Mara Pope,29723.24,08/04/1994
201087117,Perry Pounder,4424.55,27/06/1995
202064384,Taylor Luttger,40361.75,02/04/1990
201905178,Mercy Coling,38262.03,17/08/1987
201120442,Rog O'Rafferty,22696.29,04/11/2000
200250731,Kalvin Kinkaid,42102.01,28/10/1990
200792734,Lester Davers,42235.13,29/01/1994
200103718,Debor Rounds,44995.41,31/10/1992
201793518,Teodoro Frostick,42558.06,01/05/2000
200728473,Ariana Boissieux,18010.37,25/10/1997
201484413,Mattheus McGinney,9454.6,28/12/1988
200306702,Dara Truce,25417.95,19/06/1992
201246623,Rudolf Orsay,21075.69,18/10/1990
200167863,Tabbitha Seawright,49760.05,27/09/1998
200093105,Kipp Claw,27815.24,31/08/1995
200341672,Cinda Dradey,28655.64,04/12/1997
200032837,Juliann Ivashnikov,18076.88,19/05/1986
200933510,Margaret Simoes,49662.56,28/08/1991
200252337,Jean Longstaffe,12938.06,20/12/1998
201997844,Anatole Owtram,41351.91,28/07/1996
201320952,West Wrightson,17718.35,12/09/1997
200213921,Jobina Abreheart,22225.16,29/10/1988
201452744,Susanetta Wehner,18599.98,23/02/1996
200810744,Chrysler Roskeilly,9467.51,17/02/1997
201601509,Kayne Jeandet,47033.89,19/08/1997
200691696,Esmaria Lambart,38518.06,14/09/1996
200778114,Roddie Parzizek,26906.92,11/05/1993
201196080,Zachariah Tinkham,43084.56,31/03/1995
201065419,Rosalinde Mitchley,43450.3,01/04/1987
200686648,Brew Marfell,46960.89,03/05/1989
200344071,Godart Meineck,7452.36,26/01/1994
200831618,Adrian McPartlin,28632.1,07/06/1990
200739367,Eleanor Fishburn,11600.07,22/02/1992
200971706,Lisle Morehall,44061.24,28/02/1999
200841846,Nevile Duddin,42294.19,07/06/1993
200415634,Tammi Goodrum,40481.82,12/11/2000
201048450,Alberto Mc Trusty,5610.8,27/05/1991
201257867,Cosme Doreward,12486.76,19/12/1998
201837721,Hans Giddins,13444.33,18/08/1986
201109199,Yves Manford,5506.41,28/07/1997
200298041,Ellery Pedlingham,30345.24,16/08/1998
201699930,Kimmi Sigars,19173.12,28/01/1996
200624931,Rosene Trenbey,12750.22,16/10/2000
201446953,Brew Heaford,10869.28,07/07/1990
201527007,Zacharie Fyers,37766.73,28/02/2001
200058674,Reta Gooch,8052.65,07/10/2000
200117640,Carine Andriuzzi,38188.71,12/02/1987
201724458,Mehetabel Fallowes,8699.11,12/09/1997
201596807,Grove Woehler,20657.45,11/05/1994
200863051,Jock Keese,24690.58,07/09/1999
201188185,Gian Cromblehome,22803.95,14/01/1986
202007191,Oren Lemon,17988.09,21/12/1993
201756224,Matelda Corner,28329.72,17/04/1989
201566088,Archibald Densell,40003.09,23/07/2000
201614757,Bard Timbridge,42947.15,07/04/2000
200380214,Maryanna Blackwood,20155.83,28/05/1987
201032920,Leupold Strongitharm,10880.74,09/07/1997
201259368,Stacia Rivenzon,5797.1,23/12/1987
200516043,Madonna Trobe,11801.77,26/03/1995
202038506,Marrissa Holdren,43253.13,18/12/1997
200611447,Carla Mounfield,26737.52,15/08/1999
200405038,Adena Veschambre,32372.68,18/10/1990
200252314,Elana Morrilly,9170.0,26/04/1991
200714029,Skye Tandy,10401.55,31/07/1990
201906642,Waldo Bockmaster,8030.45,14/06/1992
201190069,Bernette Dignam,5435.28,21/06/1987
201702196,Zaccaria Carnson,33819.3,02/05/1988
200065203,Grover Eadington,11468.0,10/09/1986
200892771,Harriette Lerner,15976.99,04/12/1993
200304102,Sheri Raulin,37449.31,09/10/1991
201947066,Gertrude Valti,39108.51,11/09/2000
200470090,Adrien Walcar,12374.83,22/09/1999
200245050,Nicole Metzke,16587.15,12/02/1994
200931811,Charleen Veighey,13947.78,29/05/1992
201718887,Weider Chason,36627.88,23/05/1992
200781595,Angelica Eringey,27550.69,24/01/1989
200548461,Markus Jeanesson,21865.54,28/08/1994
201389302,Laney Laundon,24043.42,20/02/1997
200119682,Kingsly Ivankov,49880.67,05/06/1993
201974449,Lynette Feeney,47678.39,12/11/2001
200300623,Egbert McGinty,6630.2,04/04/1986
201830829,Gayle Toplin,16893.1,06/04/1999
200328628,Collie Mildenhall,9450.84,11/09/2001
200702181,Fallon Worsnop,37357.99,11/04/1998
200989544,Emanuel Phebey,45516.31,09/08/1987
202078111,Inna Glass,25438.55,06/05/1989
200440146,Lazare Poleye,6316.85,22/06/1999
200469068,Charmine Soldner,29800.38,30/12/1993
200671848,Chad Vernau,25341.51,04/08/1994
201497204,Starr Sex,49485.97,26/11/1999
200307811,Markus Agiolfinger,16031.75,06/09/2001
202068748,Morris Inmett,6558.01,13/01/2000
201948361,Priscilla Huerta,20289.41,10/05/1991
200420329,Norton Briscam,44463.39,31/01/1987
201115515,Inessa Bartholat,46442.36,18/07/1993
200461103,Eziechiele Oxtiby,6722.57,18/07/1996
200714160,Iggy MacKeever,7750.54,26/09/2001
201256185,Karena Matejovsky,48122.09,10/11/1999
200275704,Gertrud Brando,31961.19,20/03/1993
200568022,Randa Pendrill,8910.56,18/05/1988
200026257,Randolf Danjoie,22245.76,22/12/1994
201878911,Konrad Whimpenny,21845.23,07/06/1994
201956735,Collette Izhaky,17243.32,03/06/1997
200534862,Delila Dullard,42112.47,09/05/1988
201330679,Afton Dallimore,41852.57,04/09/1986
200492034,Jeannette Dawkes,24350.94,30/06/1989
201071549,Linet Fernant,16105.91,01/07/1993
201832621,Sibilla Pover,8378.54,05/02/1990
200380676,Leonora Escalante,49038.66,29/05/1995
200293953,Renaldo Shelf,41337.43,03/07/2000
200700091,Hube Apedaile,22271.57,13/09/1991
200176974,Darice Pigny,24986.23,24/06/1997
201776136,Gale Abbyss,45903.08,01/10/1991
201351388,Daryn Kerfod,14771.2,10/11/2000
200885172,Brenna De Beneditti,5003.34,19/11/1999
201658451,Jake Writer,20737.07,27/04/1996
201842553,Zena Honnicott,49481.3,12/01/1994
201016366,Ephraim Petrolli,4417.27,08/09/1997
200096514,Veradis Kennedy,39053.24,26/07/1986
200721279,Mirabella Donnel,7170.5,31/08/1997
202041515,Johannah Genner,26240.98,21/08/2001
201769806,Sayre Doumerque,40208.63,25/12/1999
202065459,Antonella Belvard,27301.52,15/09/1990
202043778,Ernestus Oxherd,14561.3,10/03/1989
201961678,Jereme Benez,18366.81,17/08/2000
202079240,Carroll Emer,22685.54,14/11/1998
200942962,Stewart Biskupek,15318.73,08/03/1986
201276120,Erhart Roach,39722.32,14/09/2000
200663382,Joseph Bolderson,32282.66,14/10/1999
200019172,Morena Busst,35149.96,27/09/1999
201406842,Gordy Dooney,46542.01,15/01/1994
200542963,Deonne Vernall,30200.96,20/11/1993
200302137,Rufe O'Loughnan,27564.56,09/05/1989
200826786,Birgit Baistow,10795.41,29/11/1998
200892134,Keefer Basindale,21464.64,18/05/2001
200100634,Guthry Dwerryhouse,46893.3,05/02/1987
201754564,Dav Abson,20718.58,17/02/1999
201974609,Wash Costall,15403.68,21/09/1995
200380480,Desdemona Robroe,26547.06,16/03/1990
201694784,Catlee Hoodlass,32796.43,13/11/1989
201116305,Ulrich Lindell,47502.36,10/01/1997
200653451,Chance Skittle,18303.32,09/11/1991
201725505,Baryram McKeurton,27819.91,01/05/2000
201240187,Neville Iacopo,44064.28,05/05/2001
200917982,Benjamen Beddon,11042.44,19/04/1998
200155934,Arel Ixor,47132.11,05/06/1990
201653466,Milli Manderson,10358.63,27/01/1994
200155037,Haroun Cansdill,46007.89,21/08/1996
201887226,Arlen Hamerton,27162.08,12/02/1987
201412381,Hersch Dyka,36741.6,18/12/1999
201521868,Cherry Estick,44174.99,10/06/1986
200393598,Hamil Terzo,3280.01,10/08/1997
200386018,Carlen Painten,37613.02,11/11/1993
201671412,Jae Champ,42448.02,24/04/1993
200204523,Howey Leifer,32970.42,06/02/1998
201756315,Arda Huey,7524.91,18/11/1992
201042652,Edith Junkison,41087.18,29/07/2000
201106271,Caressa Wrightem,11348.63,30/01/1992
200281197,Rubin Bruhke,32175.89,27/04/1987
200256997,Danyelle Sartain,10446.5,02/04/1998
200947250,Cecelia Halfacree,36546.33,10/05/1999
201751059,Farleigh Vodden,43645.63,27/04/1999
201987911,Adaline Ruck,48638.62,13/02/2000
200660380,Blair Gainsburgh,29550.3,31/10/1990
201114589,Coraline Puckring,49764.93,08/07/1991
201421443,Dag Acutt,8326.9,31/01/1987
200907805,Jazmin Moresby,46441.61,20/12/1994
201577230,Franciska Spilling,11185.17,21/09/2001
200128573,Nels Nutting,17049.74,26/08/1992
200833456,Wendye Fysh,48578.74,20/07/1990
201116843,Mariquilla Whickman,47639.65,02/08/1996
200357634,Worthington Bladon,48408.0,22/01/1996
201977685,Laural Tuttiett,33432.58,03/07/1993
201216929,Diane-marie McSorley,12810.68,18/12/2000
200275639,Hoebart Restorick,25147.77,29/05/1995
200704394,Tammy Ogilvie,3498.22,31/07/1998
200316389,Kylila Walicki,9179.57,02/07/2000
200877948,Gilly Greenrodd,49936.66,31/01/2000
200754045,Pauly Goodhew,26148.64,24/09/1993
201022113,Xenos Denys,28205.4,24/01/1988
200429533,Manya Tomasicchio,45027.12,30/04/1995
200648655,Elayne Pavlovsky,33096.18,30/01/1997
201157543,Thorn Thomasset,19577.82,10/07/1992
201089047,Maggee Blazewski,46015.54,05/03/1993
201429399,Eliot Gotter,37055.74,26/02/1988
201137754,Nanine Lanaway,43695.88,11/01/1996
201583392,Aubine Hagwood,9816.89,04/06/1999
201064264,Stacia Nourse,13670.42,09/01/1990
201387389,Emmalynne Broz,16866.22,28/09/1997
201434595,Wolfy Niblett,46660.06,24/01/1999
202007665,Randene Josovitz,22035.89,19/12/1994
201343088,Thaine Malins,5662.66,10/07/1992
201651573,Perren Niess,3303.28,07/06/1999
201222734,Heall Velasquez,15516.77,09/06/1986
201456664,Carly McIlhagga,6858.11,31/01/1991
200292235,Glyn Jerzyk,19986.9,18/12/1999
201118562,Hillyer Khan,49225.73,01/09/1989
201630925,Base Connick,33433.88,25/09/1993
201960669,Selinda Sicha,15728.61,06/02/1993
200167533,Elianore Partridge,21534.87,02/05/2001
201917587,Ursuline Eglin,45396.48,05/08/1993
200867388,Fabien Labram,39792.37,26/03/1993
201873347,Neron Wozencroft,23479.73,20/06/1987
201078816,Celie Rozycki,4944.97,22/06/1988
200100920,Brigid Scholes,46165.38,02/12/1999
200333205,Aindrea Stennett,47088.62,15/12/1988
200179618,Eleonora Burtonwood,18706.29,28/06/1994
200999324,Far Letherbury,18981.9,12/04/1989
200038898,Egon Tideswell,19243.0,11/03/1990
200109929,Rhianon Mitchinson,13320.13,02/10/1998
200068055,Vernice Hitzmann,3967.9,04/08/1997
200376199,Ashia Bowe,4137.48,17/05/1987
200771129,Donall Rodge,35479.53,04/01/2001
201426177,Joshua Tante,43489.51,10/05/1986
201911956,Kendrick Bengough,19057.06,11/06/1988
201547658,Natala Wroth,5894.54,07/08/1993
200777251,Raimundo Nerney,33878.51,27/12/1996
201277606,Herve Copnar,46709.46,04/02/1996
201086535,Mauricio Chamberlaine,9787.95,06/09/1990
201864627,Waylon Guiver,11109.56,07/08/1986
200559679,Pauly Yurinov,3522.01,11/11/1986
201812955,Travis Franz,12278.08,21/06/1996
200889797,Walton Jeanel,14750.31,03/03/2002
201725045,Prudence St. Paul,9203.99,16/12/1996
202077685,Meir Mirfin,46176.45,06/02/1996
201171935,Gabe De Dei,41893.12,14/06/1987
201706465,Joyce Bickerstasse,32256.3,19/07/1992
200324187,Julian Marritt,7085.74,27/01/1993
200010245,Cami Galland,48053.47,18/08/2001
201325823,Clemmie Cornewall,9170.43,02/09/1990
201797341,Elfie Eckels,32968.07,18/07/1988
201132782,Glen Brunger,7936.29,24/10/1992
200606988,Myrvyn Tremain,18368.79,13/10/1996
200862444,Howie Dougill,41768.19,12/01/1994
200122650,Sanderson Darrigone,19045.04,14/12/1990
200599154,Carroll Plett,27719.41,12/09/1988
201686333,Cale Ahrens,49427.02,23/06/2000
200128620,Kimberlee Gauford,13612.19,26/05/1999
